"","gene","freq_mut","pvalue_mut","freq_wt","pvalue_wt","adj_pvalues"
"BRCC3","BRCC3",6,0.688872862498885,377,"0.510904376726147",1
"ALDH3B1","ALDH3B1",5,0.688988523251965,378,"0.523375890680585",1
"WNT5A","WNT5A",11,0.689044138453238,372,"0.982450149704069",1
"ZFHX4","ZFHX4",89,0.689149902669635,294,"0.44661042300698",1
"MASTL","MASTL",8,0.689209795715025,375,"0.137912342993694",1
"OPN5","OPN5",5,0.689366014545812,378,"0.413411126806991",1
"PAQR9","PAQR9",12,0.689586606739015,371,"0.307982268672085",1
"RABEP1","RABEP1",15,0.689948048053543,368,"0.4025190698187",1
"CCBL2","CCBL2",4,0.690000607644313,379,"0.770533192548306",1
"OR10J1","OR10J1",18,0.690028161327311,365,"0.431788215847324",1
"ATAD2B","ATAD2B",26,0.690105126616971,357,"0.396597015729362",1
"MAF","MAF",9,0.690466568156611,374,"0.3099725807216",1
"RTN4IP1","RTN4IP1",3,0.690880421509772,380,"0.921950985556124",1
"IKZF2","IKZF2",9,0.691380288211666,374,"0.239413319989667",1
"DUSP19","DUSP19",5,0.691459777312199,378,"0.772006775665521",1
"MGP","MGP",3,0.691841554255258,380,"0.995558423428114",1
"FASN","FASN",36,0.69192323792012,347,"0.423337323955723",1
"MAK","MAK",12,0.691996080584856,371,"0.0584092185310146",1
"KCNE3","KCNE3",2,0.692021717726422,381,"0.439240156946673",1
"GPR142","GPR142",6,0.692132629382563,377,"0.389326183727612",1
"RNF17","RNF17",36,0.692362111368604,347,"0.167890834527753",1
"ATP5O","ATP5O",1,0.692422331282446,382,"0.678611574953568",1
"LTB4R","LTB4R",6,0.692515192261131,377,"0.131594985506309",1
"ABCD3","ABCD3",3,0.692641694433971,380,"0.828061352046824",1
"SAMD4B","SAMD4B",13,0.692652252846015,370,"0.515205381381159",1
"OGFOD1","OGFOD1",3,0.692748324390816,380,"0.777168512704994",1
"SRGAP3","SRGAP3",20,0.692757842241702,363,"0.390970877519423",1
"TNFRSF19","TNFRSF19",6,0.69297400518459,377,"0.989673110542705",1
"GGA1","GGA1",8,0.693045530622539,375,"0.127368734440601",1
"SRF","SRF",3,0.69312142634297,380,"0.66469812948486",1
"PRDX1","PRDX1",3,0.693174713542716,380,"0.919566522346853",1
"NHLH2","NHLH2",3,0.693387829605252,380,"0.855178589917156",1
"INO80D","INO80D",12,0.693470644861006,371,"0.198283947937933",1
"GSTM3","GSTM3",2,0.69362032449788,381,"0.0608707451061884",1
"TRIM66","TRIM66",18,0.69379021038562,365,"0.984593583207918",1
"C7","C7",30,0.694022247603502,353,"0.887265495182618",1
"SMARCD1","SMARCD1",4,0.694028219427159,379,"0.652177291651485",1
"MN1","MN1",29,0.694338319221308,354,"0.546110082523438",1
"WNT2","WNT2",11,0.694408793317129,372,"0.819302976798779",1
"ATG14","ATG14",8,0.694939242467202,375,"0.078833502140306",1
"SNAP29","SNAP29",4,0.695227652167444,379,"0.53694453690193",1
"FOSL2","FOSL2",7,0.695326030708857,376,"0.169958762581232",1
"PTPN6","PTPN6",15,0.695454188874511,368,"0.278653508440524",1
"TLX1","TLX1",11,0.695459886535448,372,"0.565377525467002",1
"TERF2IP","TERF2IP",11,0.6959422960633,372,"0.235700227346276",1
"BHLHE40","BHLHE40",2,0.695949267232774,381,"0.682594469587735",1
"NR5A2","NR5A2",11,0.696112479110334,372,"0.686605840255079",1
"C2","C2",11,0.696254266740203,372,"0.383637586620728",1
"KIFC3","KIFC3",10,0.696274834392008,373,"0.609648176295705",1
"MLH3","MLH3",22,0.696473447804097,361,"0.736719190713725",1
"RAB3B","RAB3B",5,0.697913198563519,378,"0.168352889437226",1
"ASCC3","ASCC3",35,0.698148295046915,348,"0.460721563909469",1
"TMEM44","TMEM44",6,0.69830547299416,377,"0.552691069099779",1
"NKX1-2","NKX1-2",7,0.69832679315137,376,"0.115945337300834",1
"RDH8","RDH8",5,0.698451858597402,378,"0.679345962380823",1
"RPL22L1","RPL22L1",1,0.698776268842119,382,"0.0813615520806848",1
"SERPINB9","SERPINB9",3,0.699016111668474,380,"0.342784711108221",1
"MAP4K3","MAP4K3",7,0.699101382912276,376,"0.256345747431779",1
"SHC2","SHC2",5,0.699114267372856,378,"0.984781754174222",1
"CDYL","CDYL",13,0.699134286859505,370,"0.241465168446935",1
"ENC1","ENC1",4,0.699135154925009,379,"0.226111740823474",1
"KIAA1549L","KIAA1549L",27,0.699206988845885,356,"0.204357180027236",1
"NR4A3","NR4A3",13,0.699290361489226,370,"0.122947496497051",1
"FGF14","FGF14",11,0.699987019576089,372,"0.52419147917594",1
"CORO2B","CORO2B",10,0.700126015202161,373,"0.651604623197187",1
"ARHGAP42","ARHGAP42",11,0.700494463115126,372,"0.242194201596866",1
"ADAM30","ADAM30",13,0.700901037798294,370,"0.260155225658309",1
"CA11","CA11",4,0.700920914376794,379,"0.651799024470345",1
"CBX5","CBX5",4,0.700920914376794,379,"0.467274743506384",1
"DHTKD1","DHTKD1",13,0.701108588003199,370,"0.0895326159590149",1
"CXorf21","CXorf21",6,0.701220810101112,377,"0.446198381249124",1
